web-scraper-order,web-scraper-start-url,nama,komentar
"1583431904-3835","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","syafaruddin yana",""
"1583431904-3602","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Asep Lukmantara",""
"1583431904-4630","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","gw order gofood domino pizza satu paket, kenapa yang ke order dua paket???? gw telpon cs ga ada yang ngangkat sampe pulsa gw abis. MENGECEWAKAN!!!!!!!!!!!!!"
"1583431904-1542","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Eky Sakinah",""
"1583431904-2023","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Zen Jalalludin",""
"1583431904-3560","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Trie Sutari",""
"1583431904-4437","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Saya kecewa dengan oknum driver motor Honda BEAT dengan no polisi Z 4098 TAC Oknum tidak punya sopan dan mulutnya penuh makian tidak pantas di pekerjakan sebagai driver gojek sebagai pemberi jasa tolong oknum ini di beri pembinaan mental yang baik dan etika kesopanan."
"1583431904-5589","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Malas lama lama pakai gojek, setiap mau order go food disuruh nyalakan lokasi, padahal lokasinya sudah nyala......"
"1583431904-1273","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Steven Giovanni",""
"1583431904-2916","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Predi Suyanto",""
"1583431904-894","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Paini i",""
"1583431904-792","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Hasan Garaz",""
"1583431904-2874","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Acong _MJ",""
"1583431904-4312","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Promonya bisa gagal yah. Padahal sudh belanja item dan di waktu sesuai promo. Boleh sih promonya berubh setiap saat. Tapi kasi tau dong perubahannya gimana. Masa sebelum belanja bilangnya A tapi pas lagi bayar malah jadi gagal. Ini sih bukan promo tapi malah penipuan"
"1583431904-1796","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","farhan rajavi",""
"1583431904-6323","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Parah setiap pesan di KFC selalu tidak mau menerima pesanan. Bahkan di cancel. Khusunya kota merauke. Tolong di benahi. Jangan cuma awal awal saja bagus. !!!!🤬🤬🤬🤬😡😡😡"
"1583431904-5462","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Makin lama makin males buka apk gojek..Sudah tidak ada apa apa lagi..semua vocer/promo gak ada .. dan saya dengar driver jg mengeluh dg PT.GI... Hahaha udah mulai gak jelas"
"1583431904-1642","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Dikha Permana",""
"1583431904-2315","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Anggrian Saputra",""
"1583431904-2667","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Menik Purnawati",""
"1583431904-2272","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","DANS No Lemote",""
"1583431904-2512","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Andries M",""
"1583431904-6771","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","pesen go food loading mencari driver nunggu lama , setelah di batalin ternyata driver nya sudah ketemu ini gmna aplikasi gojek kok nge bug ? saya jadinya ga enak sama driver nya lah"
