web-scraper-order,web-scraper-start-url,nama,komentar
"1583432296-11107","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Andri Kurniawan",""
"1583432296-11418","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","_Luis Agt_",""
"1583432296-13422","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Saya pengguna gosend, sudah 3x lebih transaksi lewat platform e comnerce.. Kok blum ada notifikasi kupon undian ya"
"1583432296-9310","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Raihan Safaras",""
"1583432296-8492","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Angga Roshadi",""
"1583432296-13652","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Cuman saya ini udah muter2 juga ga dikasih order.Bengsin abis mau makan juga ga ada.Apa LG buat anak bini."
"1583432296-10196","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Nia Daniaty",""
"1583432296-12282","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Saya pengguna aplikasi ini pernah saya pesan makanan lewat gofood waktu hujan deras mas nya nggak mau dikasih tambahan malah minta maaf ke saya karena salah rumah."
"1583432296-11878","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Lebih bagus lagi kalau semua transaksi harus pakai pin biar aman takut nya hp ilang dan di gunakan buat mesen food dan gocar atau goride kan semua itu gk pakai pin"
"1583432296-14764","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","pake aplikasi gojek sangat membatu untuk kebutuhan kami sehari hari 👍👍👍👍👍"
"1583432296-10624","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","M Thoriq",""
"1583432296-9576","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Sukamto ind",""
"1583432296-9278","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","No Val",""
"1583432296-10617","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Widya wty",""
"1583432296-12048","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Terima masih Gojek, sudah mulai memanjakan kembali custamer dengan voucher ride sebagai pelengkap dari voucher-voucher food. #pastiadajalan #ewakogojekmakassar"
"1583432296-13188","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Ini sangat membantu sekali dan mempermudah kegiatan kita"
"1583432296-12268","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","bagi para costumers yg terhormat,klo rasa pesanan food kalian kurang memuaskan jgnlah nyalahin driver, kami cm membelikan pesanan kalian bkn kami yg masak.kami menyampaikn apa request kalian dan bla bla semuanya. bisa2nya sy dpt komen bintang dua dgn alasan masakannya kurang pedas , komen buat resto...Ulasan Lengkap"
"1583432296-14374","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasinya bagus, tapi sayang mahal kali biayanya enggak kyk grab murah murah"
"1583432296-11935","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Pelayanan aplikasi sudah bagus,hanya saja terkadang saya mendapat driver yg sikapnya tidak menyenangkan saja. Tapi saya akan ttp memberi rate 5 karena sudah bagus dan alhamdulillah selalu mendapat driver yg baik terima kasih untuk pemimpin aplikasi GOJEK ini.oh iya knp jika ingin membuka tampilannya...Ulasan Lengkap"
"1583432296-12047","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Terjadi kesalahan dalam Top Up, dikarenakan sebelumnya saya tarik saldo gopay nya, tak berselang lama saya top up kembali dengan jumlah yg sama dengan yg ditarik, saldo nya tidak bertambah akhirnya, mohon diperbaiki 🙏🏻"
"1583432296-12000","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Lebih baik lagi aplikasi anak bangsa bukan anak tetangga..makin yes...pasti ada jalan"
"1583432296-10488","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Pansap Dastan",""
